child,parent
Computer graphics,Computing methodologies
Modeling and simulation,Computing methodologies
Computer vision,Computing methodologies
Parallel computing methodologies,Computing methodologies
Concurrent computing methodologies,Computing methodologies
Distributed computing methodologies,Computing methodologies
Visualization,Computing methodologies
Machine learning,Artificial intelligence
Knowledge representation and reasoning,Artificial intelligence
Search methodologies,Artificial intelligence
Philosophical/theoretical foundations of artificial intelligence,Artificial intelligence
Cognitive robotics,Artificial intelligence
Ontology engineering,Knowledge representation and reasoning
"Nonmonotonic, default reasoning and belief revision",Knowledge representation and reasoning
Causal reasoning and diagnostics,Knowledge representation and reasoning
Probabilistic reasoning,Knowledge representation and reasoning
Reasoning about belief and knowledge,Knowledge representation and reasoning
Learning paradigms,Machine learning
Batch learning,Learning paradigms
Learning from demonstrations,Learning paradigms
Simulation theory,Modeling and simulation
Simulation evaluation,Modeling and simulation
Simulation support systems,Modeling and simulation
Model development and analysis,Modeling and simulation
Experimentation,Modeling and simulation
Graphics systems and interfaces,Computer graphics
Animation,Computer graphics
Shape modeling,Computer graphics
Collision detection,Computer graphics
Point-based models,Shape modeling
Volumetric models,Shape modeling
Visualization techniques,Visualization
Heat maps,Visualization techniques
Empirical studies in visualization,Visualization
Network measurement,Networks
Network performance analysis,Networks
Network simulations,Networks
Data center networks,Networks
Network services,Networks
Network types,Networks
Application layer protocols,Network protocols
Transport protocols,Network protocols
Link-layer protocols,Network protocols
Cross-layer protocols,Network protocols
Network performance evaluation,Network performance analysis
Network performance modeling,Network performance analysis
Wired access networks,Network types
Packet-switching networks,Network types
People with disabilities,Human-centered computing
Text editing,Human-centered computing
Gender,User characteristics
Men,User characteristics
Age,User characteristics
Sexual orientation,User characteristics
Cultural characteristics,User characteristics
Ubiquitous and mobile computing,Applied computing
Online advertising,Applied computing
Arts and humanities,Applied computing
Ubiquitous and mobile computing systems and tools,Ubiquitous and mobile computing
Empirical studies in ubiquitous and mobile computing,Ubiquitous and mobile computing
Consumer health,Life and medical sciences
Metabolomics / metabonomics,Life and medical sciences
Systems biology,Life and medical sciences
Biology-related information processing,Life and medical sciences
Computing / technology policy,Social and professional topics
Impact on the environment,Social and professional topics
Censorship,Social and professional topics
Hate speech,Social and professional topics
IT governance,Professional topics
IT architectures,Professional topics
Government technology policy,Computing / technology policy
Commerce policy,Computing / technology policy
Import / export controls,Computing / technology policy
Online auctions policy,Computing / technology policy
History of computing,Social and professional topics
Computational thinking,Computing education
Active learning settings,Computing education
Learning settings,Computing education
Student assessment,Computing education
Computer algebra systems,Symbolic and algebraic manipulation
Representation of mathematical objects,Symbolic and algebraic manipulation
Representation of mathematical functions,Representation of mathematical objects
Representation of polynomials,Representation of mathematical objects
Validation,General and reference
Cross-computing tools and techniques,General and reference
Design,General and reference
Empirical studies,Evaluation
Walkthroughs,Evaluation
Cross-validation,Validation
Automatic programming,Software and its engineering
Software development techniques,Software and its engineering
Software creation and management,Software and its engineering
Development frameworks and environments,Software and its engineering
Software notations and tools,Software and its engineering
Software verification and validation,Software and its engineering
Designing software,Software design engineering
Pair programming,Software development techniques
Error handling and recovery,Software development techniques
Software configuration management and version control systems,Software creation and management
Traceability,Software creation and management
Reusability,Software creation and management
Formal software verification,Software verification and validation
Empirical software validation,Software verification and validation
"Bug detection, localization and diagnosis",Software verification and validation
Search-based software engineering,Software and its engineering
Safety critical systems,Embedded and cyber-physical systems
Control methods,Embedded and cyber-physical systems
Fault tree analysis,Safety critical systems
Robustness,Safety critical systems
